"caminho_origem","sha256_origem","tamanho_bytes","repositorio_origem","commit_origem","categoria_documental","status_proposto","documento_canonico","destino_recomendado","acao","justificativa","dependencias","status_execucao","destino_efetivo","sha256_destino","validacao_origem","validacao_destino","recuperacao"
".codex-artifacts:ev2-canary/ev2-g2-canary-55b549f.zip","0a01dc1c29b817c306cc0fa0249bb6bfb70be288655e8fdd8404e317ec61c0f0","164039007","fora-de-repositorio","n/a","evidencia-auditoria","resultado-encerrado","n/a","arquivo-historico:pacotes-zip/ev2-canary/ev2-g2-canary-55b549f.zip","arquivar","Resultado encerrado ou evidencia vinculada a SHA; preservar com hash, sem tratar o diretorio de artefatos como fonte canonica.","","copia-arquivada-validada-origem-retida","arquivo-historico:pacotes-zip/ev2-canary/ev2-g2-canary-55b549f.zip","arquivo-historico:pacotes-zip/ev2-canary/ev2-g2-canary-55b549f.zip=0a01dc1c29b817c306cc0fa0249bb6bfb70be288655e8fdd8404e317ec61c0f0","hash-e-tamanho-identicos-ao-snapshot","arquivo-historico:pacotes-zip/ev2-canary/ev2-g2-canary-55b549f.zip=hash-identico","origem-fisica-retida"
".codex-artifacts:ev2-canary/ev2-g2-canary-70489c8.zip","1ad931158c00d205980f6c8f4f181cc601e98d34fcf29760fabfc8f377c806fe","164038866","fora-de-repositorio","n/a","evidencia-auditoria","resultado-encerrado","n/a","arquivo-historico:pacotes-zip/ev2-canary/ev2-g2-canary-70489c8.zip","arquivar","Resultado encerrado ou evidencia vinculada a SHA; preservar com hash, sem tratar o diretorio de artefatos como fonte canonica.","","copia-arquivada-validada-origem-retida","arquivo-historico:pacotes-zip/ev2-canary/ev2-g2-canary-70489c8.zip","arquivo-historico:pacotes-zip/ev2-canary/ev2-g2-canary-70489c8.zip=1ad931158c00d205980f6c8f4f181cc601e98d34fcf29760fabfc8f377c806fe","hash-e-tamanho-identicos-ao-snapshot","arquivo-historico:pacotes-zip/ev2-canary/ev2-g2-canary-70489c8.zip=hash-identico","origem-fisica-retida"
".codex-artifacts:ev2-g16-evidence/3433aebb134a74546d7a26bc1029a74421d6c597/g16-csp-browser-evidence.json","1400756e32e9f5c1ae3b647019a00b4f0facaf8f2dd66f44b661ea6bab528ef0","1054","fora-de-repositorio","n/a","evidencia-auditoria","resultado-encerrado","gaiatec-documentacao:docs/80-evolucao/ev2/fase-16/evidencias/originais-artifacts/3433aebb134a74546d7a26bc1029a74421d6c597/g16-csp-browser-evidence.json","arquivo-historico:documentos-originais/.codex-artifacts/ev2-g16-evidence/3433aebb134a74546d7a26bc1029a74421d6c597/g16-csp-browser-evidence.json","arquivar","Resultado encerrado ou evidencia vinculada a SHA; preservar com hash, sem tratar o diretorio de artefatos como fonte canonica.","","copia-arquivada-validada-origem-retida","arquivo-historico:documentos-originais/.codex-artifacts/ev2-g16-evidence/3433aebb134a74546d7a26bc1029a74421d6c597/g16-csp-browser-evidence.json; gaiatec-documentacao:docs/80-evolucao/ev2/fase-16/evidencias/originais-artifacts/3433aebb134a74546d7a26bc1029a74421d6c597/g16-csp-browser-evidence.json","arquivo-historico:documentos-originais/.codex-artifacts/ev2-g16-evidence/3433aebb134a74546d7a26bc1029a74421d6c597/g16-csp-browser-evidence.json=1400756e32e9f5c1ae3b647019a00b4f0facaf8f2dd66f44b661ea6bab528ef0; gaiatec-documentacao:docs/80-evolucao/ev2/fase-16/evidencias/originais-artifacts/3433aebb134a74546d7a26bc1029a74421d6c597/g16-csp-browser-evidence.json=1400756e32e9f5c1ae3b647019a00b4f0facaf8f2dd66f44b661ea6bab528ef0","hash-e-tamanho-identicos-ao-snapshot","arquivo-historico:documentos-originais/.codex-artifacts/ev2-g16-evidence/3433aebb134a74546d7a26bc1029a74421d6c597/g16-csp-browser-evidence.json=hash-identico; gaiatec-documentacao:docs/80-evolucao/ev2/fase-16/evidencias/originais-artifacts/3433aebb134a74546d7a26bc1029a74421d6c597/g16-csp-browser-evidence.json=hash-identico","origem-fisica-retida"
".codex-artifacts:ev2-g16-evidence/3433aebb134a74546d7a26bc1029a74421d6c597/g16-csp-http-evidence-initial.json","e28c8201bc23cf4fde55ceef868fc154b7f1565d06762f16483214095bd6d32e","1377","fora-de-repositorio","n/a","evidencia-auditoria","resultado-encerrado","gaiatec-documentacao:docs/80-evolucao/ev2/fase-16/evidencias/originais-artifacts/3433aebb134a74546d7a26bc1029a74421d6c597/g16-csp-http-evidence-initial.json","arquivo-historico:documentos-originais/.codex-artifacts/ev2-g16-evidence/3433aebb134a74546d7a26bc1029a74421d6c597/g16-csp-http-evidence-initial.json","arquivar","Resultado encerrado ou evidencia vinculada a SHA; preservar com hash, sem tratar o diretorio de artefatos como fonte canonica.","","copia-arquivada-validada-origem-retida","arquivo-historico:documentos-originais/.codex-artifacts/ev2-g16-evidence/3433aebb134a74546d7a26bc1029a74421d6c597/g16-csp-http-evidence-initial.json; gaiatec-documentacao:docs/80-evolucao/ev2/fase-16/evidencias/originais-artifacts/3433aebb134a74546d7a26bc1029a74421d6c597/g16-csp-http-evidence-initial.json","arquivo-historico:documentos-originais/.codex-artifacts/ev2-g16-evidence/3433aebb134a74546d7a26bc1029a74421d6c597/g16-csp-http-evidence-initial.json=e28c8201bc23cf4fde55ceef868fc154b7f1565d06762f16483214095bd6d32e; gaiatec-documentacao:docs/80-evolucao/ev2/fase-16/evidencias/originais-artifacts/3433aebb134a74546d7a26bc1029a74421d6c597/g16-csp-http-evidence-initial.json=e28c8201bc23cf4fde55ceef868fc154b7f1565d06762f16483214095bd6d32e","hash-e-tamanho-identicos-ao-snapshot","arquivo-historico:documentos-originais/.codex-artifacts/ev2-g16-evidence/3433aebb134a74546d7a26bc1029a74421d6c597/g16-csp-http-evidence-initial.json=hash-identico; gaiatec-documentacao:docs/80-evolucao/ev2/fase-16/evidencias/originais-artifacts/3433aebb134a74546d7a26bc1029a74421d6c597/g16-csp-http-evidence-initial.json=hash-identico","origem-fisica-retida"
".codex-artifacts:ev2-g16-evidence/3433aebb134a74546d7a26bc1029a74421d6c597/g16-csp-http-evidence-retry-1.json","99f80a988cb2f5aa4eae910dc95c587c9682dd56f4dd60af649349b7c70ca245","1402","fora-de-repositorio","n/a","evidencia-auditoria","resultado-encerrado","gaiatec-documentacao:docs/80-evolucao/ev2/fase-16/evidencias/originais-artifacts/3433aebb134a74546d7a26bc1029a74421d6c597/g16-csp-http-evidence-retry-1.json","arquivo-historico:documentos-originais/.codex-artifacts/ev2-g16-evidence/3433aebb134a74546d7a26bc1029a74421d6c597/g16-csp-http-evidence-retry-1.json","arquivar","Resultado encerrado ou evidencia vinculada a SHA; preservar com hash, sem tratar o diretorio de artefatos como fonte canonica.","","copia-arquivada-validada-origem-retida","arquivo-historico:documentos-originais/.codex-artifacts/ev2-g16-evidence/3433aebb134a74546d7a26bc1029a74421d6c597/g16-csp-http-evidence-retry-1.json; gaiatec-documentacao:docs/80-evolucao/ev2/fase-16/evidencias/originais-artifacts/3433aebb134a74546d7a26bc1029a74421d6c597/g16-csp-http-evidence-retry-1.json","arquivo-historico:documentos-originais/.codex-artifacts/ev2-g16-evidence/3433aebb134a74546d7a26bc1029a74421d6c597/g16-csp-http-evidence-retry-1.json=99f80a988cb2f5aa4eae910dc95c587c9682dd56f4dd60af649349b7c70ca245; gaiatec-documentacao:docs/80-evolucao/ev2/fase-16/evidencias/originais-artifacts/3433aebb134a74546d7a26bc1029a74421d6c597/g16-csp-http-evidence-retry-1.json=99f80a988cb2f5aa4eae910dc95c587c9682dd56f4dd60af649349b7c70ca245","hash-e-tamanho-identicos-ao-snapshot","arquivo-historico:documentos-originais/.codex-artifacts/ev2-g16-evidence/3433aebb134a74546d7a26bc1029a74421d6c597/g16-csp-http-evidence-retry-1.json=hash-identico; gaiatec-documentacao:docs/80-evolucao/ev2/fase-16/evidencias/originais-artifacts/3433aebb134a74546d7a26bc1029a74421d6c597/g16-csp-http-evidence-retry-1.json=hash-identico","origem-fisica-retida"
".codex-artifacts:ev2-g16-evidence/3433aebb134a74546d7a26bc1029a74421d6c597/g16-csp-http-evidence.json","82224e8acedfe72b11859d16f5b1d50e2ff4beeccdec2fd294d594219be62c21","1346","fora-de-repositorio","n/a","evidencia-auditoria","resultado-encerrado","gaiatec-documentacao:docs/80-evolucao/ev2/fase-16/evidencias/originais-artifacts/3433aebb134a74546d7a26bc1029a74421d6c597/g16-csp-http-evidence.json","arquivo-historico:documentos-originais/.codex-artifacts/ev2-g16-evidence/3433aebb134a74546d7a26bc1029a74421d6c597/g16-csp-http-evidence.json","arquivar","Resultado encerrado ou evidencia vinculada a SHA; preservar com hash, sem tratar o diretorio de artefatos como fonte canonica.","","copia-arquivada-validada-origem-retida","arquivo-historico:documentos-originais/.codex-artifacts/ev2-g16-evidence/3433aebb134a74546d7a26bc1029a74421d6c597/g16-csp-http-evidence.json; gaiatec-documentacao:docs/80-evolucao/ev2/fase-16/evidencias/originais-artifacts/3433aebb134a74546d7a26bc1029a74421d6c597/g16-csp-http-evidence.json","arquivo-historico:documentos-originais/.codex-artifacts/ev2-g16-evidence/3433aebb134a74546d7a26bc1029a74421d6c597/g16-csp-http-evidence.json=82224e8acedfe72b11859d16f5b1d50e2ff4beeccdec2fd294d594219be62c21; gaiatec-documentacao:docs/80-evolucao/ev2/fase-16/evidencias/originais-artifacts/3433aebb134a74546d7a26bc1029a74421d6c597/g16-csp-http-evidence.json=82224e8acedfe72b11859d16f5b1d50e2ff4beeccdec2fd294d594219be62c21","hash-e-tamanho-identicos-ao-snapshot","arquivo-historico:documentos-originais/.codex-artifacts/ev2-g16-evidence/3433aebb134a74546d7a26bc1029a74421d6c597/g16-csp-http-evidence.json=hash-identico; gaiatec-documentacao:docs/80-evolucao/ev2/fase-16/evidencias/originais-artifacts/3433aebb134a74546d7a26bc1029a74421d6c597/g16-csp-http-evidence.json=hash-identico","origem-fisica-retida"
".codex-artifacts:ev2-g16-evidence/7804d5b44786941e4fa1f4c6ad5626cb26bee802/browser-csp.json","e3db17875c87b927a48d14320975d5f1812d5d8f904b1c2c96cedf654b3f3ca2","1064","fora-de-repositorio","n/a","evidencia-auditoria","resultado-encerrado","gaiatec-documentacao:docs/80-evolucao/ev2/fase-16/evidencias/G16_CSP_BROWSER_7804d5b.json","arquivo-historico:documentos-originais/.codex-artifacts/ev2-g16-evidence/7804d5b44786941e4fa1f4c6ad5626cb26bee802/browser-csp.json","arquivar","Resultado encerrado ou evidencia vinculada a SHA; preservar com hash, sem tratar o diretorio de artefatos como fonte canonica.","","copia-arquivada-validada-origem-retida","arquivo-historico:documentos-originais/.codex-artifacts/ev2-g16-evidence/7804d5b44786941e4fa1f4c6ad5626cb26bee802/browser-csp.json; gaiatec-documentacao:docs/80-evolucao/ev2/fase-16/evidencias/G16_CSP_BROWSER_7804d5b.json","arquivo-historico:documentos-originais/.codex-artifacts/ev2-g16-evidence/7804d5b44786941e4fa1f4c6ad5626cb26bee802/browser-csp.json=e3db17875c87b927a48d14320975d5f1812d5d8f904b1c2c96cedf654b3f3ca2; gaiatec-documentacao:docs/80-evolucao/ev2/fase-16/evidencias/G16_CSP_BROWSER_7804d5b.json=e983af42612ab1c8671ea9f468f4bbd0f076d8789cac9dfc8b6f342a7145bbf1","hash-e-tamanho-identicos-ao-snapshot","arquivo-historico:documentos-originais/.codex-artifacts/ev2-g16-evidence/7804d5b44786941e4fa1f4c6ad5626cb26bee802/browser-csp.json=hash-identico; gaiatec-documentacao:docs/80-evolucao/ev2/fase-16/evidencias/G16_CSP_BROWSER_7804d5b.json=sucessor-transformado-origem-preservada@n/a","origem-fisica-retida"
".codex-artifacts:ev2-g16-evidence/7804d5b44786941e4fa1f4c6ad5626cb26bee802/http-probe-attempt-1.json","abb45cb403b10688f0a60a31f8ea5071369c83325fa84112c1977c0b79159126","1374","fora-de-repositorio","n/a","evidencia-auditoria","resultado-encerrado","gaiatec-documentacao:docs/80-evolucao/ev2/fase-16/evidencias/originais-artifacts/7804d5b44786941e4fa1f4c6ad5626cb26bee802/http-probe-attempt-1.json","arquivo-historico:documentos-originais/.codex-artifacts/ev2-g16-evidence/7804d5b44786941e4fa1f4c6ad5626cb26bee802/http-probe-attempt-1.json","arquivar","Resultado encerrado ou evidencia vinculada a SHA; preservar com hash, sem tratar o diretorio de artefatos como fonte canonica.","","copia-arquivada-validada-origem-retida","arquivo-historico:documentos-originais/.codex-artifacts/ev2-g16-evidence/7804d5b44786941e4fa1f4c6ad5626cb26bee802/http-probe-attempt-1.json; gaiatec-documentacao:docs/80-evolucao/ev2/fase-16/evidencias/originais-artifacts/7804d5b44786941e4fa1f4c6ad5626cb26bee802/http-probe-attempt-1.json","arquivo-historico:documentos-originais/.codex-artifacts/ev2-g16-evidence/7804d5b44786941e4fa1f4c6ad5626cb26bee802/http-probe-attempt-1.json=abb45cb403b10688f0a60a31f8ea5071369c83325fa84112c1977c0b79159126; gaiatec-documentacao:docs/80-evolucao/ev2/fase-16/evidencias/originais-artifacts/7804d5b44786941e4fa1f4c6ad5626cb26bee802/http-probe-attempt-1.json=abb45cb403b10688f0a60a31f8ea5071369c83325fa84112c1977c0b79159126","hash-e-tamanho-identicos-ao-snapshot","arquivo-historico:documentos-originais/.codex-artifacts/ev2-g16-evidence/7804d5b44786941e4fa1f4c6ad5626cb26bee802/http-probe-attempt-1.json=hash-identico; gaiatec-documentacao:docs/80-evolucao/ev2/fase-16/evidencias/originais-artifacts/7804d5b44786941e4fa1f4c6ad5626cb26bee802/http-probe-attempt-1.json=hash-identico","origem-fisica-retida"
".codex-artifacts:ev2-g16-evidence/7804d5b44786941e4fa1f4c6ad5626cb26bee802/http-probe.json","9b1364919d79617fa30b156b97afff24fae30beeaf91537cbfdf1c05ac563ddb","1354","fora-de-repositorio","n/a","evidencia-auditoria","resultado-encerrado","gaiatec-documentacao:docs/80-evolucao/ev2/fase-16/evidencias/G16_CSP_HTTP_7804d5b.json","arquivo-historico:documentos-originais/.codex-artifacts/ev2-g16-evidence/7804d5b44786941e4fa1f4c6ad5626cb26bee802/http-probe.json","arquivar","Resultado encerrado ou evidencia vinculada a SHA; preservar com hash, sem tratar o diretorio de artefatos como fonte canonica.","","copia-arquivada-validada-origem-retida","arquivo-historico:documentos-originais/.codex-artifacts/ev2-g16-evidence/7804d5b44786941e4fa1f4c6ad5626cb26bee802/http-probe.json; gaiatec-documentacao:docs/80-evolucao/ev2/fase-16/evidencias/G16_CSP_HTTP_7804d5b.json","arquivo-historico:documentos-originais/.codex-artifacts/ev2-g16-evidence/7804d5b44786941e4fa1f4c6ad5626cb26bee802/http-probe.json=9b1364919d79617fa30b156b97afff24fae30beeaf91537cbfdf1c05ac563ddb; gaiatec-documentacao:docs/80-evolucao/ev2/fase-16/evidencias/G16_CSP_HTTP_7804d5b.json=346a3ed83d627a33e92c8d0229f64f495c610e2a6a3e1f41b59d8e27acaf7003","hash-e-tamanho-identicos-ao-snapshot","arquivo-historico:documentos-originais/.codex-artifacts/ev2-g16-evidence/7804d5b44786941e4fa1f4c6ad5626cb26bee802/http-probe.json=hash-identico; gaiatec-documentacao:docs/80-evolucao/ev2/fase-16/evidencias/G16_CSP_HTTP_7804d5b.json=sucessor-transformado-origem-preservada@n/a","origem-fisica-retida"
".codex-artifacts:ev2-g16-evidence/ced95e61f89ff14eda9675e0ec730614899dde65/g16-csp-browser-evidence.json","ed92728ac2a0c05f5093ef304b6068e1d37da4034700d36585eac6eb1dd6279e","1054","fora-de-repositorio","n/a","evidencia-auditoria","resultado-encerrado","gaiatec-documentacao:docs/80-evolucao/ev2/fase-16/evidencias/G16_CSP_BROWSER_ced95e61.json","arquivo-historico:documentos-originais/.codex-artifacts/ev2-g16-evidence/ced95e61f89ff14eda9675e0ec730614899dde65/g16-csp-browser-evidence.json","arquivar","Resultado encerrado ou evidencia vinculada a SHA; preservar com hash, sem tratar o diretorio de artefatos como fonte canonica.","","copia-arquivada-validada-origem-retida","arquivo-historico:documentos-originais/.codex-artifacts/ev2-g16-evidence/ced95e61f89ff14eda9675e0ec730614899dde65/g16-csp-browser-evidence.json; gaiatec-documentacao:docs/80-evolucao/ev2/fase-16/evidencias/G16_CSP_BROWSER_ced95e61.json","arquivo-historico:documentos-originais/.codex-artifacts/ev2-g16-evidence/ced95e61f89ff14eda9675e0ec730614899dde65/g16-csp-browser-evidence.json=ed92728ac2a0c05f5093ef304b6068e1d37da4034700d36585eac6eb1dd6279e; gaiatec-documentacao:docs/80-evolucao/ev2/fase-16/evidencias/G16_CSP_BROWSER_ced95e61.json=14f3dd38cf4cfc040a067c7fa49ed3099386e445463821ac6b471c648914171f","hash-e-tamanho-identicos-ao-snapshot","arquivo-historico:documentos-originais/.codex-artifacts/ev2-g16-evidence/ced95e61f89ff14eda9675e0ec730614899dde65/g16-csp-browser-evidence.json=hash-identico; gaiatec-documentacao:docs/80-evolucao/ev2/fase-16/evidencias/G16_CSP_BROWSER_ced95e61.json=sucessor-transformado-origem-preservada@n/a","origem-fisica-retida"
